0708	LING_2 QI_1 LING_2 BA_1
1880	YAO_1 BA_1 BA_1 LING_2;YI_1 BA_1 BA_1 LING_2;YI_1 QIAN_1 BA_1 BAI_3 BA_1 SHI_2;YI_4 BA_1 BA_1 LING_2;YI_4 QIAN_1 BA_1 BAI_3 BA_1 SHI_2
1895	YAO_1 BA_1 JIU_3 WU_3;YI_1 BA_1 JIU_3 WU_3;YI_1 QIAN_1 BA_1 BAI_3 JIU_3 SHI_2 WU_3;YI_4 BA_1 JIU_3 WU_3;YI_4 QIAN_1 BA_1 BAI_3 JIU_3 SHI_2 WU_3
1900	YAO_1 JIU_3 LING_2 LING_2;YI_1 JIU_3 LING_2 LING_2;YI_1 QIAN_1 JIU_3 BAI_3;YI_4 JIU_3 LING_2 LING_2;YI_4 QIAN_1 JIU_3 BAI_3
1943	YAO_1 JIU_3 SI_4 SAN_1;YI_1 JIU_3 SI_4 SAN_1;YI_1 QIAN_1 JIU_3 BAI_3 SI_4 SHI_2 SAN_1;YI_4 JIU_3 SI_4 SAN_1;YI_4 QIAN_1 JIU_3 BAI_3 SI_4 SHI_2 SAN_1
1949	YI_1 JIU_3 SI_4 JIU_3
1950	YAO_1 JIU_3 WU_3 LING_2;YI_1 JIU_3 WU_3 LING_2;YI_1 QIAN_1 JIU_3 BAI_3 WU_3 SHI_2;YI_4 JIU_3 WU_3 LING_2;YI_4 QIAN_1 JIU_3 BAI_3 WU_3 SHI_2
1952	YI_1 JIU_2 WU_3 ER_4
1956	YAO_1 JIU_3 WU_3 LIU_4;YI_1 JIU_3 WU_3 LIU_4;YI_1 QIAN_1 JIU_3 BAI_3 WU_3 SHI_2 LIU_4;YI_4 JIU_3 WU_3 LIU_4;YI_4 QIAN_1 JIU_3 BAI_3 WU_3 SHI_2 LIU_4
1973	YAO_1 JIU_3 QI_1 SAN_1;YI_1 JIU_3 QI_1 SAN_1;YI_1 QIAN_1 JIU_3 BAI_3 QI_1 SHI_2 SAN_1;YI_4 JIU_3 QI_1 SAN_1;YI_4 QIAN_1 JIU_3 BAI_3 QI_1 SHI_2 SAN_1
1978	YAO_1 JIU_3 QI_1 BA_1;YI_1 JIU_3 QI_1 BA_1;YI_1 QIAN_1 JIU_3 BAI_3 QI_1 SHI_2 BA_1;YI_4 JIU_3 QI_1 BA_1;YI_4 QIAN_1 JIU_3 BAI_3 QI_1 SHI_2 BA_1
1983	YAO_1 JIU_3 BA_1 SAN_1;YI_1 JIU_3 BA_1 SAN_1;YI_1 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 SAN_1;YI_4 JIU_3 BA_1 SAN_1;YI_4 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 SAN_1
1985	YAO_1 JIU_3 BA_1 WU_3;YI_1 JIU_3 BA_1 WU_3;YI_1 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 WU_3;YI_4 JIU_3 BA_1 WU_3;YI_4 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 WU_3
1986	YAO_1 JIU_3 BA_1 LIU_4;YI_1 JIU_3 BA_1 LIU_4;YI_1 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 LIU_4;YI_4 JIU_3 BA_1 LIU_4;YI_4 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 LIU_4
1987	YAO_1 JIU_3 BA_1 QI_1;YI_1 JIU_3 BA_1 QI_1;YI_1 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 QI_1;YI_4 JIU_3 BA_1 QI_1;YI_4 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 QI_1
1988	YAO_1 JIU_3 BA_1 BA_1;YI_1 JIU_3 BA_1 BA_1;YI_1 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 BA_1;YI_4 JIU_3 BA_1 BA_1;YI_4 QIAN_1 JIU_3 BAI_3 BA_1 SHI_2 BA_1
1992	YAO_1 JIU_3 JIU_3 ER_4;YI_1 JIU_3 JIU_3 ER_4;YI_1 QIAN_1 JIU_3 BAI_3 JIU_3 SHI_2 ER_4;YI_4 JIU_3 JIU_3 ER_4;YI_4 QIAN_1 JIU_3 BAI_3 JIU_3 SHI_2 ER_4
1993	YAO_1 JIU_3 JIU_3 SAN_1;YI_1 JIU_3 JIU_3 SAN_1;YI_1 QIAN_1 JIU_3 BAI_3 JIU_3 SHI_2 SAN_1;YI_4 JIU_3 JIU_3 SAN_1;YI_4 QIAN_1 JIU_3 BAI_3 JIU_3 SHI_2 SAN_1
1994	YAO_1 JIU_3 JIU_3 SI_4;YI_1 JIU_3 JIU_3 SI_4;YI_1 QIAN_1 JIU_3 BAI_3 JIU_3 SHI_2 SI_4;YI_4 JIU_3 JIU_3 SI_4;YI_4 QIAN_1 JIU_3 BAI_3 JIU_3 SHI_2 SI_4
1997	YAO_1 JIU_3 JIU_3 QI_1;YI_1 JIU_3 JIU_3 QI_1;YI_1 QIAN_1 JIU_3 BAI_3 JIU_3 SHI_2 QI_1;YI_4 JIU_3 JIU_3 QI_1;YI_4 QIAN_1 JIU_3 BAI_3 JIU_3 SHI_2 QI_1
1	YI_1
1	YI_1;YAO_1
2000	ER_4 LING_2 LING_2 LING_2;ER_4 QIAN_1
2001	ER_4 LING_2 LING_2 YAO_1;ER_4 LING_2 LING_2 YI_1;ER_4 LING_2 LING_2 YI_4;ER_4 QIAN_1 LING_2 YI_1;ER_4 QIAN_1 LING_2 YI_4
2003	ER_4 LING_2 LING_2 SAN_1;ER_4 QIAN_1 LING_2 SAN_1
2004	ER_4 LING_2 LING_2 SI_4;ER_4 QIAN_1 LING_2 SI_4
2005	ER_4 LING_2 LING_2 WU_3;ER_4 QIAN_1 LING_2 WU_3
2006	ER_4 LING_2 LING_2 LIU_4;ER_4 QIAN_1 LING_2 LIU_4
2007	ER_4 LING_2 LING_2 QI_1;ER_4 QIAN_1 LING_2 QI_1
2008	ER_4 LING_2 LING_2 BA_1;ER_4 QIAN_1 LING_2 BA_1
2009	ER_4 LING_2 LING_2 JIU_3;ER_4 QIAN_1 LING_2 JIU_3
2010	ER_4 LING_2 YAO_1 LING_2;ER_4 LING_2 YI_1 LING_2;ER_4 LING_2 YI_4 LING_2;ER_4 QIAN_1 LING_2 YI_1 SHI_2;ER_4 QIAN_1 LING_2 YI_4 SHI_2
2011	ER_4 LING_2 YAO_1 YAO_1;ER_4 LING_2 YI_1 YI_1;ER_4 QIAN_1 LING_2 YI_1 SHI_2 YI_1
2012	ER_4 LING_2 YAO_1 ER_4;ER_4 LING_2 YI_1 ER_4;ER_4 LING_2 YI_4 ER_4;ER_4 QIAN_1 LING_2 YI_1 SHI_2 ER_4;ER_4 QIAN_1 LING_2 YI_4 SHI_2 ER_4
2013	ER_4 LING_2 YI_1 SAN_1;ER_4 LING_2 YI_4 SAN_1;ER_4 QIAN_1 LING_2 YI_1 SHI_2 SAN_1;ER_4 QIAN_1 LING_2 YI_4 SHI_2 SAN_1
2014	ER_4 LING_2 YAO_1 SI_4;ER_4 LING_2 YI_1 SI_4;ER_4 LING_2 YI_4 SI_4;ER_4 QIAN_1 LING_2 YI_1 SHI_2 SI_4;ER_4 QIAN_1 LING_2 YI_4 SHI_2 SI_4
2015	ER_4 LING_2 YAO_1 WU_3;ER_4 LING_2 YI_1 WU_3;ER_4 LING_2 YI_4 WU_3;ER_4 QIAN_1 LING_2 YI_1 SHI_2 WU_3;ER_4 QIAN_1 LING_2 YI_4 SHI_2 WU_3
2018	ER_4 LING_2 YAO_1 BA_1;ER_4 LING_2 YI_1 BA_1;ER_4 LING_2 YI_4 BA_1;ER_4 QIAN_1 LING_2 YI_1 SHI_2 BA_1;ER_4 QIAN_1 LING_2 YI_4 SHI_2 BA_1
2020	ER_4 LING_2 ER_4 LING_2
2060	ER_4 LING_2 LIU_4 LING_2;ER_4 QIAN_1 LING_2 LIU_4 SHI_2
2080	ER_4 LING_2 BA_1 LING_2;ER_4 QIAN_1 LING_2 BA_1 SHI_2
2084	ER_4 LING_2 BA_1 SI_4;ER_4 QIAN_1 LING_2 BA_1 SHI_2 SI_4
2090	ER_4 LING_2 JIU_3 LING_2;ER_4 QIAN_1 LING_2 JIU_3 SHI_2
2100	ER_4 QIAN_1 YI_1 BAI_3;ER_4 QIAN_1 YI_4 BAI_3;ER_4 YAO_1 LING_2 LING_2;ER_4 YI_1 LING_2 LING_2;ER_4 YI_4 LING_2 LING_2
2103	ER_4 QIAN_1 YI_1 BAI_3 LING_2 SAN_1;ER_4 QIAN_1 YI_4 BAI_3 LING_2 SAN_1;ER_4 YAO_1 LING_2 SAN_1;ER_4 YI_1 LING_2 SAN_1;ER_4 YI_4 LING_2 SAN_1
